line_type;mkp_name;mkp_order_no;order_date;ordoro_id;sku;item_sale_price;item_tax;shipping_sale;total_per_sku;title;supplier_name;order_status;item_cost;cancelled_value;transport_cost_est;first_pick_date;last_delivery_date;courier;mage_mkp_commission;mkp_estimated_commission;mkp_actual_commission;order_grand_total;ordoro_import_date;tool_import_date;max_shipping_date;max_delivery_date;cd_status;is_clogistique_order;line_status;transport_cost_actual;order_place_time;order_prep_time;order_delivery_time;order_total_time;gm_estimated
ORDER LINE;CDiscount;2009161727KUPJE;16.09.2020 15:27;1-300055647;KK-KKLJOYBLU00000;69,95;0;9,95;79,9;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;1,92;0;13,9;81,82;16.09.2020 19:46;16.09.2020 19:51;30.09.2020 00:00;9.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;16;0;0;16;51,08
ORDER LINE;CDiscount;2009161727KUPJE;16.09.2020 15:27;1-300055647;KK-KKLJOYBLU00000;69,95;0;9,95;79,9;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;1,92;0;13,9;81,82;16.09.2020 19:46;16.09.2020 19:51;30.09.2020 00:00;9.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;16;0;0;16;51,08
ORDER LINE;PriceMinister;322836927;24.09.2020 22:25;1-300056586;KK-KKWMOOVNAV0000;319,95;0;0;319,95;;KK;shipped;171;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;47,99;0;319,95;25.09.2020 00:49;25.09.2020 00:51;5.10.2020 00:00;8.10.2020 00:00;;No;Awaiting shipment;0;8;0;0;8;47,64
ORDER LINE;Monechelle;M200923734296;25.09.2020 08:47;1-300056600;KK-KKLJOYBLU000AC;79,95;0;0;79,95;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;11,99;0;79,95;25.09.2020 12:02;25.09.2020 12:10;2.10.2020 00:00;13.10.2020 00:00;;No;Awaiting shipment;0;8;0;0;8;54,64
ORDER LINE;Monechelle;M200923740097;25.09.2020 13:11;1-300056647;KK-KKLJOYBLU000AC;79,95;0;0;79,95;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;11,99;0;79,95;25.09.2020 15:22;25.09.2020 15:30;2.10.2020 00:00;13.10.2020 00:00;;No;Awaiting shipment;0;7;0;0;7;54,64
ORDER LINE;Monechelle;M200923816976;28.09.2020 16:05;1-300057121;KK-KKKFINIBLK0000;119,95;0;0;119,95;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;17,99;0;119,95;28.09.2020 18:36;28.09.2020 18:45;5.10.2020 00:00;14.10.2020 00:00;;No;Awaiting shipment;0;4;0;0;4;81,97
ORDER LINE;Monechelle;M200923816976;28.09.2020 16:05;1-300057121;KK-KKKFINIBLK0000;119,95;0;0;119,95;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;17,99;0;119,95;28.09.2020 18:36;28.09.2020 18:45;5.10.2020 00:00;14.10.2020 00:00;;No;Awaiting shipment;0;4;0;0;4;81,97
ORDER LINE;CDiscount;20092821212SYQB;28.09.2020 19:21;1-300057167;KK-KKFJUFIBLK0000;79,95;0;9,95;89,9;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;0;13,48;89,9;28.09.2020 22:19;28.09.2020 22:30;12.10.2020 00:00;21.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;4;0;0;4;61,44
ORDER LINE;CDiscount;20092821212SYQB;28.09.2020 19:21;1-300057167;KK-KKFJUFIBLK0000;79,95;0;9,95;89,9;;KK;shipped;0;0;0;0000-00-00 00:00:00;0000-00-00 00:00:00;;0;0;13,48;89,9;28.09.2020 22:19;28.09.2020 22:30;12.10.2020 00:00;21.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;4;0;0;4;61,44
ORDER LINE;CDiscount;20090822540NKZH;8.09.2020 20:54;1-300054777;AKO-K120-6SZ-BIALA;124,95;0;19,95;144,9;;AKO;shipped;39,16;0;16;10.09.2020 11:15;0000-00-00 00:00:00;UPS;0;0;21,73;144,9;9.09.2020 00:33;9.09.2020 00:45;23.09.2020 00:00;2.10.2020 00:00;WaitingForShipmentAcceptation;No;Awaiting shipment;0;24;1;23;48;43,86
